time,open,high,low,close,Volume,K,D
-2151135000,8.08,8.08,8.08,8.08,0,68.79416298342448,69.38826490980288
-2145864600,8.12,8.12,8.12,8.12,0,67.49884367815248,68.57266163427504
-2138088600,8.48,8.48,8.48,8.48,0,73.592239856263,69.96174883927999
-2135496600,8.46,8.46,8.46,8.46,0,76.59088571834587,72.56065641758713
-2130226200,8.6,8.6,8.6,8.6,0,78.02649578195609,76.06987378552166
-2127547800,8.83,8.83,8.83,8.83,0,77.26693919479669,77.29477356503288
-2124869400,8.85,8.85,8.85,8.85,0,78.16593158211765,77.81978885295682
-2122277400,8.57,8.57,8.57,8.57,0,53.252843939991244,69.5619049056352
-2117007000,8.05,8.05,8.05,8.05,0,26.903643832210733,52.77413978477322
-2114328600,8.46,8.46,8.46,8.46,0,8.657455520095285,29.604647764099095
-2106552600,7.75,7.75,7.75,7.75,0,8.657455520095285,14.739518290800435
-2103960600,7.6,7.6,7.6,7.6,0,8.657455520095285,8.657455520095285
-2101282200,7.18,7.18,7.18,7.18,0,0,5.771637013396858
-2098690200,6.85,6.85,6.85,6.85,0,0,2.8858185066984294
-2093333400,6.47,6.47,6.47,6.47,0,0,1.1842378929335002e-15
-2090741400,6.26,6.26,6.26,6.26,0,0,1.1842378929335002e-15
-2085471000,6.57,6.57,6.57,6.57,0,3.9128744082509646,1.3042914694169894
-2082792600,6.68,6.68,6.68,6.68,0,9.16328284433526,4.3587190841954095
-2080114200,6.5,6.5,6.5,6.5,0,12.858273892375257,8.644810381653828
-2077608600,6.48,6.48,6.48,6.48,0,12.4643985259293,11.49531842087994
-2074930200,6.64,6.64,6.64,6.64,0,14.186540914919505,13.169737777741355
-2069659800,6.51,6.51,6.51,6.51,0,17.11773154532962,14.58955699539281
-2067067800,6.78,6.78,6.78,6.78,0,25.801799286023442,19.035357248757524
-2064389400,7.01,7.01,7.01,7.01,0,46.92937990218641,29.949636911179823
-2061711000,7.32,7.32,7.32,7.32,0,73.63653155706963,48.78923691509316
-2056440600,8.17,8.17,8.17,8.17,0,94.76679810790414,71.77756985572006
-2053848600,8.25,8.25,8.25,8.25,0,100,89.46777655499125
-2048491800,8.8,8.8,8.8,8.8,0,100,98.25559936930138
-2046072600,9.05,9.05,9.05,9.05,0,100,100
-2040802200,8.5,8.5,8.5,8.5,0,90.40384132740182,96.80128044246727
-2038123800,8.6,8.6,8.6,8.6,0,81.77971702836186,90.72785278525457
-2032853400,9.2,9.2,9.2,9.2,0,78.44124773917314,83.54160203164561
-2030175000,9.23,9.23,9.23,9.23,0,84.94269607501025,81.72122028084841
-2024904600,9.31,9.31,9.31,9.31,0,91.05880435596032,84.81424939004789
-2022312600,9.54,9.54,9.54,9.54,0,93.90443626358827,89.96864556485293
-2019634200,9.87,9.87,9.87,9.87,0,96.99914660034936,93.98746240663264
-2016955800,9.8,9.8,9.8,9.8,0,97.57294198620822,96.15884161671528
-2014536600,9.56,9.56,9.56,9.56,0,87.53417545356695,94.03542134670818
-2009266200,9.18,9.18,9.18,9.18,0,54.20084212023361,79.76931985333626
-2006587800,9.3,9.3,9.3,9.3,0,26.184550678504554,55.97318941743504
-2001317400,9.73,9.73,9.73,9.73,0,17.95847398026224,32.78128892633347
-1996047000,9.73,9.73,9.73,9.73,0,32.5341267011512,25.559050453305996
-1993368600,9.93,9.93,9.93,9.93,0,48.772693702074086,33.08843146116251
-1988098200,9.56,9.56,9.56,9.56,0,35.702490731364065,39.00310371152978
-1985419800,9.26,9.26,9.26,9.26,0,21.1268380104751,35.20067414797108
